date,url,status,items_logged,notes
2025-01-02,https://www.portland.gov/council/agenda/2025/1/2,pending,,"January 2, 2025; first meeting of the 12-member council"
2025-01-15,https://www.portland.gov/council/agenda/2025/1/15,pending,,"January 15-16, 2025"
2025-02-05,https://www.portland.gov/council/agenda/2025/2/5,pending,,"February 5, 2025"
2025-02-19,https://www.portland.gov/council/agenda/2025/2/19,pending,,"February 19-20, 2025"
2025-03-05,https://www.portland.gov/council/agenda/2025/3/5,pending,,"March 5, 2025"
2025-03-19,https://www.portland.gov/council/agenda/2025/3/19,pending,,"March 19-20, 2025"
2025-04-02,https://www.portland.gov/council/agenda/2025/4/2,pending,,"April 2-3, 2025"
2025-04-16,https://www.portland.gov/council/agenda/2025/4/16,pending,,"April 16-17, 2025"
2025-04-23,https://www.portland.gov/council/agenda/2025/4/23,pending,,"April 23, 2025 (Special Meeting)"
2025-05-07,https://www.portland.gov/council/agenda/2025/5/7,pending,,"May 7-8, 2025"
2025-05-21,https://www.portland.gov/council/agenda/2025/5/21,pending,,"May 21, 2025"
2025-06-04,https://www.portland.gov/council/agenda/2025/6/4,pending,,"June 4-5, 2025"
2025-06-10,https://www.portland.gov/council/agenda/2025/6/10,pending,,"June 10-11, 2025"
2025-06-18,https://www.portland.gov/council/agenda/2025/6/18,pending,,"June 18, 2025"
2025-06-25,https://www.portland.gov/council/agenda/2025/6/25,pending,,"June 25, 2025 (Special Meeting)"
2025-07-16,https://www.portland.gov/council/agenda/2025/7/16,pending,,"July 16-17, 2025 (Special and Regular Meeting)"
2025-08-06,https://www.portland.gov/council/agenda/2025/8/6,pending,,"August 6-7, 2025"
2025-08-13,https://www.portland.gov/council/agenda/2025/8/13,pending,,"August 13-14, 2025 (Special Meetings)"
2025-09-03,https://www.portland.gov/council/agenda/2025/9/3,pending,,"September 3-4, 2025"
2025-09-17,https://www.portland.gov/council/agenda/2025/9/17,pending,,"September 17-18, 2025"
2025-09-24,https://www.portland.gov/council/agenda/2025/9/24,pending,,"September 24, 2025 (Special Meeting)"
2025-10-01,https://www.portland.gov/council/agenda/2025/10/1,pending,,"October 1, 2025"
2025-10-08,https://www.portland.gov/council/agenda/2025/10/8,pending,,"October 8, 2025"
2025-10-15,https://www.portland.gov/council/agenda/2025/10/15,pending,,"October 15, 2025"
2025-10-22,https://www.portland.gov/council/agenda/2025/10/22,pending,,"October 22, 2025"
2025-10-29,https://www.portland.gov/council/agenda/2025/10/29,pending,,"October 29-30, 2025"
2025-11-05,https://www.portland.gov/council/agenda/2025/11/5,cancelled,0,"November 5, 2025; meeting cancelled"
2025-11-12,https://www.portland.gov/council/agenda/2025/11/12-0,pending,,"November 12, 2025"
2025-11-19,https://www.portland.gov/council/agenda/2025/11/19,pending,,"November 19-20, 2025"
2025-12-03,https://www.portland.gov/council/agenda/2025/12/3,pending,,"December 3, 2025"
2025-12-10,https://www.portland.gov/council/agenda/2025/12/10,pending,,"December 10, 2025"
2025-12-17,https://www.portland.gov/council/agenda/2025/12/17,pending,,"December 17-18, 2025"
2026-01-07,https://www.portland.gov/council/agenda/2026/1/7,done,0,"January 7-14, 2026"
2026-01-14,https://www.portland.gov/council/agenda/2026/1/14,done,4,"January 14, 2026"
2026-01-21,https://www.portland.gov/council/agenda/2026/1/21,done,0,"January 21, 2026"
2026-01-28,https://www.portland.gov/council/agenda/2026/1/28,done,1,"January 28-29, 2026"
2026-02-04,https://www.portland.gov/council/agenda/2026/2/4,done,6,"February 4-5, 2026"
2026-02-11,https://www.portland.gov/council/agenda/2026/2/11,done,4,"February 11-12, 2026"
2026-02-18,https://www.portland.gov/council/agenda/2026/2/18,done,3,"February 18-19, 2026"
2026-02-25,https://www.portland.gov/council/agenda/2026/2/25,done,3,"February 25-26, 2026"
2026-03-04,https://www.portland.gov/council/agenda/2026/3/4,done,3,"March 4, 2026"
2026-03-11,https://www.portland.gov/council/agenda/2026/3/11,done,5,"March 11, 2026"
2026-03-18,https://www.portland.gov/council/agenda/2026/3/18,done,1,"March 18, 2026"
2026-04-01,https://www.portland.gov/council/agenda/2026/4/1,done,1,"April 1-2, 2026"
2026-04-08,https://www.portland.gov/council/agenda/2026/4/8,done,3,"April 8, 2026"
2026-04-15,https://www.portland.gov/council/agenda/2026/4/15,done,4,"April 15-16, 2026"
2026-04-21,https://www.portland.gov/council/agenda/2026/4/21,done,1,"April 21-23, 2026"
2026-04-29,https://www.portland.gov/council/agenda/2026/4/29,done,2,"April 29-30, 2026"
2026-05-06,https://www.portland.gov/council/agenda/2026/5/6,done,1,"May 6, 2026"
2026-05-13,https://www.portland.gov/council/agenda/2026/5/13,done,4,"May 13, 2026"
2026-05-18,https://www.portland.gov/council/agenda/2026/5/18,done,1,"May 18-20, 2026"
2026-05-27,https://www.portland.gov/council/agenda/2026/5/27,done,7,"May 27, 2026"
2026-06-03,https://www.portland.gov/council/agenda/2026/6/3,done,3,"June 3-4, 2026"
2026-06-10,https://www.portland.gov/council/agenda/2026/6/10,done,3,"June 10-11, 2026 (regular and special meetings)"
2026-06-17,https://www.portland.gov/council/agenda/2026/6/17,done,5,"June 17-18, 2026"
2026-06-24,https://www.portland.gov/council/agenda/2026/6/24,done,4,"June 24-25, 2026"
2026-07-08,https://www.portland.gov/council/agenda/2026/7/8,done,1,"July 8, 2026"
2026-07-15,https://www.portland.gov/council/agenda/2026/7/15,done,1,"July 15-16, 2026"
2026-07-22,https://www.portland.gov/council/agenda/2026/7/22,done,4,"July 22-23, 2026"
2026-07-29,https://www.portland.gov/council/agenda/2026/7/29,done,3,"July 29-30, 2026"
2026-08-05,https://www.portland.gov/council/agenda/2026/8/5,done,1,"August 5-6, 2026"
2026-08-12,https://www.portland.gov/council/agenda/2026/8/12,done,3,"August 12, 2026"
2026-09-02,https://www.portland.gov/council/agenda/2026/9/2,done,2,"September 2-3, 2026"
2026-09-09,https://www.portland.gov/council/agenda/2026/9/9,done,3,"September 9, 2026; processed in an earlier session but that data was lost"
2026-09-16,https://www.portland.gov/council/agenda/2026/9/16,done,2,"September 16, 2026; processed in an earlier session but that data was lost"
2026-09-23,https://www.portland.gov/council/agenda/2026/9/23,pending,2,"September 23-24, 2026; processed in an earlier session but that data was lost"
