date,doc_number,seq,item,kind,motion,note,theme,neighborhood,url,Morillo,Avalos,Ryan,Pirtle-Guiney,Zimmerman,Dunphy,Smith,Green,Clark,Kanal,Novick,Koyama Lane
2025-01-02,2025-001,1,"Amend Council Organization and Procedure Code related to the Council Agenda, Council Rules, and Council Committees (amend Code Chapter 3.02)",Amendment,"Motion to amend Exhibit A, Subsection 3.02.020 B.4. to strike the words ""complete items"" and replace with ""items that meet the administrative requirements"": Moved by Zimmerman and seconded by Ryan.",,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-02,2025-001,2,"Amend Council Organization and Procedure Code related to the Council Agenda, Council Rules, and Council Committees (amend Code Chapter 3.02)",Amendment,"Motion to amend Exhibit A Subsection 3.02.050 A.2. to strike the words ""The resolution specifies"" and replace with ""The Council President proposes and the Council resolution affirms"": Moved by Zimmerman and seconded by Novick.",,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-02,,1,Council President and Vice President Election,Motion,Motion to approve the recommended procedure to elect a Council President and Council Vice President. Moved by Zimmerman and seconded by Clark.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-02,,2,Council President and Vice President Election,Motion,Motion to have the Mayor to participate in the vote for Council President to break the tie: Moved by Smith and seconded by Zimmerman. Motion failed to pass.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Nay,Nay,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay,Nay,Nay
2025-01-02,,3,Council President and Vice President Election,Procedural,Motion to recess: Moved by Morillo and seconded by Koyama Lane.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-02,,4,Council President and Vice President Election,Procedural,Motion to recess: Moved by Kanal and seconded by Pirtle-Guiney.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea
2025-01-02,,5,Council President and Vice President Election,Procedural,Motion to recess for 15 minutes: Moved by Pirtle-Guiney and seconded Zimmerman.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,,1,Agenda approval,Amendment,Motion to amend the agenda to refer Item 10 (2025-006) back to Mayor Wilson's Office: Moved by Green and seconded by Ryan.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,2025-007,1,Adopt a Supplemental Budget for City Council and Mayor staffing,Amendment,Motion to amend Directive A.1 to replace City Administrator's Office with General Fund Contingency: Moved by Smith and seconded by Ryan.,,FY Budget; Budget & Taxes; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,2025-007,2,Adopt a Supplemental Budget for City Council and Mayor staffing,Amendment,"Motion to add an emergency clause, “The Council declares that an emergency exists in order to have Exhibits 1-2 of this Ordinance as amended be enacted upon passage of this Ordinance; therefore, this Ordinance shall be in full force and effect from and after its passage by the Council.” Moved by Dunphy and seconded by Clark.",,FY Budget; Budget & Taxes; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,2025-007,3,Adopt a Supplemental Budget for City Council and Mayor staffing,Amendment,Motion to adopt Exhibit 1 as amended: Moved by Kanal and seconded by Dunphy.,,FY Budget; Budget & Taxes; Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,2025-001,1,"Amend Council Organization and Procedure Code related to the Council Agenda, Council Rules, and Council Committees (amend Code Chapter 3.02)",Motion,"Motion to add Section 2. The Council declares that an emergency exists because a delay in the City’s implementation of these rules would cause meetings in the intervening 30 days to have different procedures, creating confusion for the public and City staff; therefore, this Ordinance shall be in full force and effect from and after its passage by the Council: Moved by Kanal and seconded by Smith.",,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-01-15,2025-001,2,"Amend Council Organization and Procedure Code related to the Council Agenda, Council Rules, and Council Committees (amend Code Chapter 3.02)",Procedural,"Motion to add Directive C: The Council President will ensure a proposal to replace or extend Chapter 3.02 is placed on the Council Agenda by October 31, 2025: Moved by Kanal and seconded by Koyama Lane.",,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Nay,Yea,Nay,Yea,Yea,Yea,Nay,Yea,Yea,Yea
2025-01-16,2025-005,1,"Consider proposal of Type IV Demolition Review approval for 118 SW Porter St, and Portland Permitting and Development staff recommendation for approval, for a contributing building in the South Portland Historic District (LU 24-077225 DM)",Motion,"Motion to tentatively grant the demolition review approval with the Portland Permitting and Development staff recommendation, recommended conditions, and ask the staff to return with revised findings: Moved by Ryan and seconded by Kanal.",,Land Use & Planning; Arts & Culture,Not specified in agenda,https://www.portland.gov/council/agenda/2025/1/15,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Absent,Yea,Absent,Yea
2025-02-05,2025-011,1,Appoint Michael Jordan as City Administrator,Amendment,"Motion to amend the resolution to add ""WHEREAS, Michael Jordan will serve as City Administrator through January 2, 2026"" and add ""in accordance with this resolution"" to the resolved statement: Moved by Avalos and seconded by Kanal.",,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/2/5,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-02-19,,1,Agenda approval,Procedural,Motion to move Item 2025-024 to the beginning of the Regular agenda: Moved by Kanal and seconded by Ryan.,,Government Operations,Not specified in agenda,https://www.portland.gov/council/agenda/2025/2/19,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-02-19,2025-030,1,Direct the City Administrator to submit a report of all unassigned funds for recent fiscal years,Amendment,"Motion to amend the resolution to replace the Resolved section with “NOW, THEREFORE, BE IT RESOLVED that the City Council of Portland, Oregon, directs the City Administrator to submit a written report to the Finance Committee detailing all financial activities related to unassigned grant funds for the current fiscal year to date, as well as the three preceding fiscal years. The City Council further requests that the City Administrator provide these findings no later than April 21, 2025, to inform Council and support its preparation of the FY 2025-26 budget,” and to amend the title to strike “Request City Auditor perform a special audit” and with replace with “Direct the City Administrator to submit a report”: Moved by Smith and seconded by Dunphy.",,Budget & Taxes; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2025/2/19,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-02-20,2025-026,1,"Amend the Comprehensive Plan Map and Zoning Map for properties at 3508 NE 11th Ave and 1123 NE Fremont St at the request of Derek Metson, Greenbox Architecture (LU 24-073674 CP ZC)",Amendment,"Motion to tentatively approve the application for a comprehensive plan map amendment and zoning map amendment, uphold the recommendation of the Hearings Officer and ask staff to return with revised findings for Council to amend the Ordinance to reflect those revised findings on March 19, 2025 at 6:15 p.m.: Moved by Green and seconded by Ryan.",,Land Use & Planning,Sabin,https://www.portland.gov/council/agenda/2025/2/19,Yea,Yea,Yea,Yea,Absent,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-03-19,2025-070,1,"Declare actions concerning Zenith Energy Terminal Holdings, LLC, including placing communications into the public record, demanding the Mayor to investigate violations of the Zenith franchise agreement, and urging the Auditor to conduct an investigation into the competing statements and arguments heard by Council on January 21st, 2025, by City staff, Zenith, and members of the public",Amendment,"Motion to amend the fourth Resolved statement to add ""and pursuant to the authority in PCC 7.12.030"" and delete "", with independent review to ensure impartiality,"": Moved by Dunphy and seconded by Koyama Lane.",,Environment & Energy; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2025/3/19,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-03-19,2025-070,2,"Declare actions concerning Zenith Energy Terminal Holdings, LLC, including placing communications into the public record, demanding the Mayor to investigate violations of the Zenith franchise agreement, and urging the Auditor to conduct an investigation into the competing statements and arguments heard by Council on January 21st, 2025, by City staff, Zenith, and members of the public",Motion,"Motion to remove Whereas statements 11 and 13 through 20 and attachments C1, C2, E, F, G1, and H: Moved by Zimmerman and seconded by Clark.",,Environment & Energy; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2025/3/19,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay
2025-03-19,2025-070,3,"Declare actions concerning Zenith Energy Terminal Holdings, LLC, including placing communications into the public record, demanding the Mayor to investigate violations of the Zenith franchise agreement, and urging the Auditor to conduct an investigation into the competing statements and arguments heard by Council on January 21st, 2025, by City staff, Zenith, and members of the public",Motion,Motion to remove the Whereas statements 11 and 13-20 and attachment H: Moved by Zimmerman and seconded by Novick.,,Environment & Energy; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2025/3/19,Nay,Nay,Nay,Yea,Yea,Nay,Nay,Nay,Yea,Nay,Yea,Nay
2025-03-19,2025-070,4,"Declare actions concerning Zenith Energy Terminal Holdings, LLC, including placing communications into the public record, demanding the Mayor to investigate violations of the Zenith franchise agreement, and urging the Auditor to conduct an investigation into the competing statements and arguments heard by Council on January 21st, 2025, by City staff, Zenith, and members of the public",Motion,Motion to remove Attachment H: Moved by Morillo and seconded by Kanal.,,Environment & Energy; Government Transparency,Not specified in agenda,https://www.portland.gov/council/agenda/2025/3/19,Yea,Nay,Yea,Yea,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea
2025-04-02,2025-101,1,Require the City Administrator to study alternative housing financing and ownership models and deliver a report of findings to Council,Motion,"Motion to add ""including identification of impediments such as Zoning Code, permitting process, and financing gaps"" to the last Resolved statement: Moved by Green and seconded by Zimmerman.",,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2025/4/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-04-02,2025-101,2,Require the City Administrator to study alternative housing financing and ownership models and deliver a report of findings to Council,Procedural,"6. analysis of pilot zones available for near-term implementation of social housing models at scale, including within the Albina Vision project area and other neighborhoods within the N/NE Preference Policy area: Moved by Pirtle-Guiney and seconded by Smith.",,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2025/4/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-04-02,2025-101,3,Require the City Administrator to study alternative housing financing and ownership models and deliver a report of findings to Council,Procedural,Motion to end debate and call the question: Moved by Green and seconded by Novick.,,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2025/4/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-04-02,2025-101,4,Require the City Administrator to study alternative housing financing and ownership models and deliver a report of findings to Council,Motion,"Whereas, based on 2020 U.S. Census data for Portland, the average Black household brings in about $3,000 in monthly income, Latino households earn $4,500, and Native American households earn nearly $5,000. In comparison to white Portland households who earn $6,400 on average each month. The report shows that white residents can afford a home in about one-third of Portland’s neighborhoods – mostly adjacent to the City’s eastern border: Moved by Smith and seconded by Green.",,Housing,Not specified in agenda,https://www.portland.gov/council/agenda/2025/4/2,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
2025-04-03,2025-045,1,Amend Affordable Housing Code to add prohibition of anti-competitive rental practices including the sale and use of algorithmic devices (add Code Section 30.01.088),Amendment,Motion to discuss the amendment: Moved by Morillo and seconded by Novick.,,Housing; Business Regulation,Not specified in agenda,https://www.portland.gov/council/agenda/2025/4/2,Yea,Yea,Nay,Nay,Yea,Yea,Yea,Yea,Yea,Yea,Yea,Yea
