doc_number,outlet,headline,url,image
2026-149,OPB,Portland councilors approve ban on foie gras,https://www.opb.org/article/2026/06/04/portland-approves-foie-gras-ban/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/OO7VCV2MPZG5PMCYHH6JKYPL7I.jpg?auth=13880fa7d2faf9d52b76dc53dcdb406d8a67ab204917826e8433e600a4245188&width=1200&height=675&smart=true
2026-149,Willamette Week,Portland City Council Narrowly Passes Foie Gras Ban,https://www.wweek.com/news/city/2026/06/04/city-council-narrowly-passes-foie-gras-ban/,https://www.wweek.com/resizer/v2/ZOJQP35KNWXMBI45GYQMDPDXTE.jpg?smart=true&auth=77d9ae34139d357da4efb407b30269798787e65db6a8a78baa1c0b246b748d73&width=1200&height=630
2026-149,Portland Mercury,Farewell to Foie Gras,https://www.portlandmercury.com/food-and-drink/foie-gras-ban-passes-portland-city-council/,https://www.portlandmercury.com/wp-content/uploads/2026/06/GettyImages-1423438856.jpg
2026-280,OPB,Portland City Council approves term sheet for Moda Center renovations,https://www.opb.org/article/2026/08/12/portland-city-council-approves-moda-center-renovations-term-sheet/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/HPVR2J3GPBAWVKWG4JUAPXXNHM.JPG?auth=da97b3ae4459757ac1f6c02c1d8dafa4930c413ca4e030d0f1654a13631434fa&width=1200&height=675&smart=true
2026-280,Willamette Week,Council Approves Moda Center Term Sheet to Kick Off Negotiations With Blazers,https://www.wweek.com/news/city/2026/08/12/council-approves-moda-center-term-sheet-to-kick-off-negotiations-with-blazers/,https://www.wweek.com/resizer/v2/WI6YWUFQ6FCOJNXC4INYZ5YDCQ.jpg?smart=true&auth=294eb115075fb7d063c480802bd84e6ec2ce66e5d18b5891d8ae9672bf1d9818&width=1200&height=630
2026-280,KGW,Portland City Council votes 8-4 to approve $120M Moda Center renovation term sheet,https://www.kgw.com/article/news/community/moda-center/portland-city-council-term-sheet-amendments-meeting/283-443c4df1-c463-4651-9307-bcc327c37d71,
2026-280,Portland Tribune,"Portland council backs $120M Moda Center investment, approves term sheet",https://portlandtribune.com/2026/08/12/portland-council-backs-120m-moda-center-investment-approves-term-sheet/,https://portlandtribune.com/wp-content/uploads/sites/20/2026/08/blazers-generic.jpg
2026-223,KGW,"In bitter compromise, Portland City Council restores some cuts to public safety, city staffing",https://www.kgw.com/article/news/politics/portland-city-council-budget-staff-public-safety-positions-cuts-staff/283-ed543474-257e-43e6-ae65-fb5ca8587e73,
2026-223,Willamette Week,Council Passes Ordinance to Preserve 30 Jobs and Reverse Some Public Safety Cuts Across the City,https://www.wweek.com/news/city/2026/07/22/council-passes-ordinance-to-preserve-30-jobs-and-some-public-safety-cuts-across-the-city/,https://www.wweek.com/resizer/v2/5SXZCLRKLNA7LKNPJSA5LC7WGQ.jpg?smart=true&auth=835c86da7373df04afda6c8c647f7e2f295a1f653b5efe34b9427d1aa360ae92&width=1200&height=630
2026-196,OPB,Portland City Council begrudgingly adopts $8.5 billion budget,https://www.opb.org/article/2026/06/18/portland-budget-city-council-cuts/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/OO7VCV2MPZG5PMCYHH6JKYPL7I.jpg?auth=13880fa7d2faf9d52b76dc53dcdb406d8a67ab204917826e8433e600a4245188&width=1200&height=675&focal=2251%2C1740
2026-111,OPB,Portland approves policy to bar law enforcement from wearing masks,https://www.opb.org/article/2026/05/27/portland-oregon-law-enforcement-city-council-masks-identification/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/GBYIJ5WWLBBXDAYWVOL3WHWQ6U.JPG?auth=0d6b586dbace44ec2f072954dda663eb8549cd838c13d23bd0d9adf488f167d4&width=1200&height=675&smart=true
2026-111,Willamette Week,City Council Passes Mask Ban for Law Enforcement,https://www.wweek.com/news/city/2026/05/27/city-council-passes-law-enforcement-mask-ban/,https://www.wweek.com/resizer/v2/SWYSHZTKRWHEH3KWUE5T5PL4DQ.jpg?smart=true&auth=d124146d5ae87fffd4750c90c2a8b676a4272445af31606b52371cbb7e439e44&width=1200&height=630
2026-111,Portland Mercury,"Portland City Council Adopts New Law Enforcement Mask Ban, ID Requirements",https://www.portlandmercury.com/news/portland-city-council-adopts-new-law-enforcement-mask-ban-id-requirements/,https://www.portlandmercury.com/wp-content/uploads/2026/05/2025-10-18-fed-officers-on-ICE-roof-CourtneyVaughn-scaled.jpg
2026-111,KPTV,Portland City Council approves ordinance banning face coverings for law enforcement,https://www.kptv.com/2026/05/28/portland-city-council-approves-ordinance-banning-face-coverings-law-enforcement/,https://gray-kptv-prod.gtv-cdn.com/resizer/v2/STFZSSK3G5E2TJPKQ3I5YQY5ME.jpg?auth=f4f62003c64e63509b29dd82cc2bc7954abf83d4cdec0f95a794671a9dc6e2b2&width=1200&height=600&smart=true
2026-113,Portland Mercury,Portland City Council Officially Adopts Transportation Utility Fee,https://www.portlandmercury.com/news/portland-city-council-officially-adopts-transportation-utility-fee/,https://www.portlandmercury.com/wp-content/uploads/2026/04/FullSizeRender-scaled.jpeg
2026-113,KGW,Portland City Council approves new utility fee to fund road maintenance,https://www.kgw.com/article/news/politics/portland-city-council-pass-transportation-utility-fee-road-maintenance/283-243f6372-2b29-4511-9a16-939bc33c861c,
2026-270,KPTV,Portland City Council approves new PSU venue project while maintaining support for Keller Auditorium,https://www.kptv.com/2026/09/09/portland-city-council-approves-new-psu-venue-project-while-maintaining-support-keller-auditorium/,https://gray-kptv-prod.gtv-cdn.com/resizer/v2/6526BSZPVVBXFEPK4UDKXP6CBU.png?auth=07bae82ead8ccae4bb02aa7862f107f703bb6193c70486f8f7b6f904aa9f0150&width=1200&height=600&smart=false&focal=704%2C477
2026-147,OPB,"Portland votes to increase arts tax, allow fewer people to pay",https://www.opb.org/article/2026/05/27/portland-votes-to-increase-arts-tax-allow-fewer-people-to-pay/,https://opb-opb-prod.cdn.arcpublishing.com/resizer/v2/R2RSF5YU25DIJKFCQZARWZ5XQU.jpg?auth=dacc484ee33b36b0d0845eaa0a29affbf8eb13dd663864b9d3f16dfc496c483a&width=1200&height=675&smart=true
